date,stage,slug,home,away,score,scoreSource,result90,advanced,wentToExtra,hadShootout,marketCount,childEvents,marketTypes
2026-06-11T19:00:00Z,Group,fifwc-mex-rsa-2026-06-11,Mexico,South Africa,2-0,exact_score,Mexico,,false,false,367,7,both_teams_to_score|both_teams_to_score_first_half|both_teams_to_score_second_half|first_half_totals|moneyline|second_half_totals|soccer_exact_score|soccer_first_corner|soccer_first_half_team_totals|soccer_first_half_total_corners|soccer_first_to_score|soccer_game_corners_odd_even|soccer_halftime_result|soccer_player_assists|soccer_player_goalkeeper_saves|soccer_player_goals|soccer_player_goals_plus_assists|soccer_player_shots|soccer_player_shots_on_target|soccer_second_half_result|soccer_second_half_team_totals|soccer_second_half_total_corners|soccer_team_total_corners|soccer_team_totals|spreads|total_corners|totals
2026-06-12T02:00:00Z,Group,fifwc-kr-cze-2026-06-11,Korea Republic,Czechia,2-1,exact_score,Korea Republic,,false,false,357,7,both_teams_to_score|both_teams_to_score_first_half|both_teams_to_score_second_half|first_half_totals|moneyline|second_half_totals|soccer_exact_score|soccer_first_corner|soccer_first_half_team_totals|soccer_first_half_total_corners|soccer_first_to_score|soccer_game_corners_odd_even|soccer_halftime_result|soccer_player_assists|soccer_player_goalkeeper_saves|soccer_player_goals|soccer_player_goals_plus_assists|soccer_player_shots|soccer_player_shots_on_target|soccer_second_half_result|soccer_second_half_team_totals|soccer_second_half_total_corners|soccer_team_totals|spreads|total_corners|totals
2026-06-12T19:00:00Z,Group,fifwc-can-bih-2026-06-12,Canada,Bosnia-Herzegovina,1-1,exact_score,Draw,,false,false,357,7,both_teams_to_score|both_teams_to_score_first_half|both_teams_to_score_second_half|first_half_totals|moneyline|second_half_totals|soccer_exact_score|soccer_first_corner|soccer_first_half_team_totals|soccer_first_half_total_corners|soccer_first_to_score|soccer_game_corners_odd_even|soccer_halftime_result|soccer_player_assists|soccer_player_goalkeeper_saves|soccer_player_goals|soccer_player_goals_plus_assists|soccer_player_shots|soccer_player_shots_on_target|soccer_second_half_result|soccer_second_half_team_totals|soccer_second_half_total_corners|soccer_team_total_corners|soccer_team_totals|spreads|total_corners|totals
2026-06-13T01:00:00Z,Group,fifwc-usa-par-2026-06-12,United States,Paraguay,4-1,totals_ladder,United States,,false,false,463,7,both_teams_to_score|both_teams_to_score_first_half|both_teams_to_score_second_half|first_half_totals|moneyline|second_half_totals|soccer_exact_score|soccer_first_corner|soccer_first_half_team_totals|soccer_first_half_total_corners|soccer_first_to_score|soccer_game_corners_odd_even|soccer_halftime_result|soccer_player_assists|soccer_player_goalkeeper_saves|soccer_player_goals|soccer_player_goals_plus_assists|soccer_player_shots|soccer_player_shots_on_target|soccer_second_half_result|soccer_second_half_team_totals|soccer_second_half_total_corners|soccer_team_total_corners|soccer_team_totals|spreads|total_corners|totals
2026-06-13T19:00:00Z,Group,fifwc-qat-che-2026-06-13,Qatar,Switzerland,1-1,exact_score,Draw,,false,false,497,7,both_teams_to_score|both_teams_to_score_first_half|both_teams_to_score_second_half|first_half_totals|moneyline|second_half_totals|soccer_exact_score|soccer_first_corner|soccer_first_half_team_totals|soccer_first_half_total_corners|soccer_first_to_score|soccer_game_corners_odd_even|soccer_halftime_result|soccer_player_assists|soccer_player_goalkeeper_saves|soccer_player_goals|soccer_player_goals_plus_assists|soccer_player_shots|soccer_player_shots_on_target|soccer_second_half_result|soccer_second_half_team_totals|soccer_second_half_total_corners|soccer_team_total_corners|soccer_team_totals|spreads|total_corners|totals
2026-06-13T22:00:00Z,Group,fifwc-bra-mar-2026-06-13,Brazil,Morocco,1-1,exact_score,Draw,,false,false,488,7,both_teams_to_score|both_teams_to_score_first_half|both_teams_to_score_second_half|first_half_totals|moneyline|second_half_totals|soccer_exact_score|soccer_first_corner|soccer_first_half_team_totals|soccer_first_half_total_corners|soccer_first_to_score|soccer_game_corners_odd_even|soccer_halftime_result|soccer_player_assists|soccer_player_goalkeeper_saves|soccer_player_goals|soccer_player_goals_plus_assists|soccer_player_shots|soccer_player_shots_on_target|soccer_second_half_result|soccer_second_half_team_totals|soccer_second_half_total_corners|soccer_team_total_corners|soccer_team_totals|spreads|total_corners|totals
2026-06-14T01:00:00Z,Group,fifwc-hai-sco-2026-06-13,Haiti,Scotland,0-1,exact_score,Scotland,,false,false,472,7,both_teams_to_score|both_teams_to_score_first_half|both_teams_to_score_second_half|first_half_totals|moneyline|second_half_totals|soccer_exact_score|soccer_first_corner|soccer_first_half_team_totals|soccer_first_half_total_corners|soccer_first_to_score|soccer_game_corners_odd_even|soccer_halftime_result|soccer_player_assists|soccer_player_goalkeeper_saves|soccer_player_goals|soccer_player_goals_plus_assists|soccer_player_shots|soccer_player_shots_on_target|soccer_second_half_result|soccer_second_half_team_totals|soccer_second_half_total_corners|soccer_team_total_corners|soccer_team_totals|spreads|total_corners|totals
2026-06-14T04:00:00Z,Group,fifwc-aus-tur-2026-06-14,Australia,Türkiye,2-0,exact_score,Australia,,false,false,466,7,both_teams_to_score|both_teams_to_score_first_half|both_teams_to_score_second_half|first_half_totals|moneyline|second_half_totals|soccer_exact_score|soccer_first_corner|soccer_first_half_team_totals|soccer_first_half_total_corners|soccer_first_to_score|soccer_game_corners_odd_even|soccer_halftime_result|soccer_player_assists|soccer_player_goalkeeper_saves|soccer_player_goals|soccer_player_goals_plus_assists|soccer_player_shots|soccer_player_shots_on_target|soccer_second_half_result|soccer_second_half_team_totals|soccer_second_half_total_corners|soccer_team_total_corners|soccer_team_totals|spreads|total_corners|totals
2026-06-14T17:00:00Z,Group,fifwc-ger-kor-2026-06-14,Germany,Curaçao,7-1,totals_ladder,Germany,,false,false,473,7,both_teams_to_score|both_teams_to_score_first_half|both_teams_to_score_second_half|first_half_totals|moneyline|second_half_totals|soccer_exact_score|soccer_first_corner|soccer_first_half_team_totals|soccer_first_half_total_corners|soccer_first_to_score|soccer_game_corners_odd_even|soccer_halftime_result|soccer_player_assists|soccer_player_goalkeeper_saves|soccer_player_goals|soccer_player_goals_plus_assists|soccer_player_shots|soccer_player_shots_on_target|soccer_second_half_result|soccer_second_half_team_totals|soccer_second_half_total_corners|soccer_team_total_corners|soccer_team_totals|spreads|total_corners|totals
2026-06-14T20:00:00Z,Group,fifwc-nld-jpn-2026-06-14,Netherlands,Japan,2-2,exact_score,Draw,,false,false,469,7,both_teams_to_score|both_teams_to_score_first_half|both_teams_to_score_second_half|first_half_totals|moneyline|second_half_totals|soccer_exact_score|soccer_first_corner|soccer_first_half_team_totals|soccer_first_half_total_corners|soccer_first_to_score|soccer_game_corners_odd_even|soccer_halftime_result|soccer_player_assists|soccer_player_goalkeeper_saves|soccer_player_goals|soccer_player_goals_plus_assists|soccer_player_shots|soccer_player_shots_on_target|soccer_second_half_result|soccer_second_half_team_totals|soccer_second_half_total_corners|soccer_team_total_corners|soccer_team_totals|spreads|total_corners|totals
