date,stage,match_slug,market_slug,type,group,question,outcome,resolved_price
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-mex,moneyline,Mexico,Will Mexico win on 2026-06-11?,Yes,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-mex,moneyline,Mexico,Will Mexico win on 2026-06-11?,No,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-draw,moneyline,Draw (Mexico vs. South Africa),Will Mexico vs. South Africa end in a draw?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-draw,moneyline,Draw (Mexico vs. South Africa),Will Mexico vs. South Africa end in a draw?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-rsa,moneyline,South Africa,Will South Africa win on 2026-06-11?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-rsa,moneyline,South Africa,Will South Africa win on 2026-06-11?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-halftime-result-home,soccer_halftime_result,Mexico,Mexico leading at halftime?,Yes,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-halftime-result-home,soccer_halftime_result,Mexico,Mexico leading at halftime?,No,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-halftime-result-draw,soccer_halftime_result,Draw,Mexico vs. South Africa: Draw at halftime?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-halftime-result-draw,soccer_halftime_result,Draw,Mexico vs. South Africa: Draw at halftime?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-halftime-result-away,soccer_halftime_result,South Africa,South Africa leading at halftime?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-halftime-result-away,soccer_halftime_result,South Africa,South Africa leading at halftime?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-0-0,soccer_exact_score,Mexico 0 - 0 South Africa,Exact Score: Mexico 0 - 0 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-0-0,soccer_exact_score,Mexico 0 - 0 South Africa,Exact Score: Mexico 0 - 0 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-0-1,soccer_exact_score,Mexico 0 - 1 South Africa,Exact Score: Mexico 0 - 1 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-0-1,soccer_exact_score,Mexico 0 - 1 South Africa,Exact Score: Mexico 0 - 1 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-1-0,soccer_exact_score,Mexico 1 - 0 South Africa,Exact Score: Mexico 1 - 0 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-1-0,soccer_exact_score,Mexico 1 - 0 South Africa,Exact Score: Mexico 1 - 0 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-0-2,soccer_exact_score,Mexico 0 - 2 South Africa,Exact Score: Mexico 0 - 2 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-0-2,soccer_exact_score,Mexico 0 - 2 South Africa,Exact Score: Mexico 0 - 2 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-1-1,soccer_exact_score,Mexico 1 - 1 South Africa,Exact Score: Mexico 1 - 1 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-1-1,soccer_exact_score,Mexico 1 - 1 South Africa,Exact Score: Mexico 1 - 1 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-2-0,soccer_exact_score,Mexico 2 - 0 South Africa,Exact Score: Mexico 2 - 0 South Africa?,Yes,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-2-0,soccer_exact_score,Mexico 2 - 0 South Africa,Exact Score: Mexico 2 - 0 South Africa?,No,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-0-3,soccer_exact_score,Mexico 0 - 3 South Africa,Exact Score: Mexico 0 - 3 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-0-3,soccer_exact_score,Mexico 0 - 3 South Africa,Exact Score: Mexico 0 - 3 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-1-2,soccer_exact_score,Mexico 1 - 2 South Africa,Exact Score: Mexico 1 - 2 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-1-2,soccer_exact_score,Mexico 1 - 2 South Africa,Exact Score: Mexico 1 - 2 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-2-1,soccer_exact_score,Mexico 2 - 1 South Africa,Exact Score: Mexico 2 - 1 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-2-1,soccer_exact_score,Mexico 2 - 1 South Africa,Exact Score: Mexico 2 - 1 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-3-0,soccer_exact_score,Mexico 3 - 0 South Africa,Exact Score: Mexico 3 - 0 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-3-0,soccer_exact_score,Mexico 3 - 0 South Africa,Exact Score: Mexico 3 - 0 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-1-3,soccer_exact_score,Mexico 1 - 3 South Africa,Exact Score: Mexico 1 - 3 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-1-3,soccer_exact_score,Mexico 1 - 3 South Africa,Exact Score: Mexico 1 - 3 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-2-2,soccer_exact_score,Mexico 2 - 2 South Africa,Exact Score: Mexico 2 - 2 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-2-2,soccer_exact_score,Mexico 2 - 2 South Africa,Exact Score: Mexico 2 - 2 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-3-1,soccer_exact_score,Mexico 3 - 1 South Africa,Exact Score: Mexico 3 - 1 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-3-1,soccer_exact_score,Mexico 3 - 1 South Africa,Exact Score: Mexico 3 - 1 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-2-3,soccer_exact_score,Mexico 2 - 3 South Africa,Exact Score: Mexico 2 - 3 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-2-3,soccer_exact_score,Mexico 2 - 3 South Africa,Exact Score: Mexico 2 - 3 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-3-2,soccer_exact_score,Mexico 3 - 2 South Africa,Exact Score: Mexico 3 - 2 South Africa?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-3-2,soccer_exact_score,Mexico 3 - 2 South Africa,Exact Score: Mexico 3 - 2 South Africa?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-exact-score-3-3,soccer_exact_score,Mexico 3 - 3 South Africa,Exact Score: Mexico 3 - 3 South Africa?,Yes,0
